분류-대-공정,분류-대-공정,분류-중-재료,분류-중-재료,분류-소-객체유형,분류-소-객체유형,라이브러리-라이브러리 ID(코드),라이브러리-파일명,라이브러리-확장자-rfa,라이브러리-확장자-rte,라이브러리-명칭,라이브러리-명칭(유형명),조달청 표준공사코드-세부공종코드(전체),조달청 표준공사코드-세부공종코드(추가),관련규격-KBIMS 부위분류,비고
,,,,,,,,○,도,도장포함 900x1900mm,"DR111-외여닫이문(철재, 일반) 도장포함 900x1900mm",ALA120201000,,E333,
,,,,,,,,○,도,도장포함 900x2000mm,"DR111-외여닫이문(철재, 일반) 도장포함 900x2000mm",ALA120202000,,E333,
,,,,,,,,○,도,도장포함 900x2100mm,"DR111-외여닫이문(철재, 일반) 도장포함 900x2100mm",ALA120203000,,E333,
,,,,,,,,○,도,도장포함 900x2400mm,"DR111-외여닫이문(철재, 일반) 도장포함 900x2400mm",ALA120204000,,E333,
,,,,,,,,○,도,도장포함 1000x1800mm,"DR111-외여닫이문(철재, 일반) 도장포함 1000x1800mm",ALA120205000,,E333,
,,,,,,,,○,도,도장포함 1000x1900mm,"DR111-외여닫이문(철재, 일반) 도장포함 1000x1900mm",ALA120206000,,E333,
,,,,,,,,○,도,도장포함 1000x2000mm,"DR111-외여닫이문(철재, 일반) 도장포함 1000x2000mm",ALA120207000,,E333,
,,,,,,,,○,도,도장포함 1000x2100mm,"DR111-외여닫이문(철재, 일반) 도장포함 1000x2100mm",ALA120208000,,E333,
,,,,,,,,○,도,도장포함 1000x2400mm,"DR111-외여닫이문(철재, 일반) 도장포함 1000x2400mm",ALA120209000,,E333,
,,,,,,,,○,도,도장포함 1100x1800mm,"DR111-외여닫이문(철재, 일반) 도장포함 1100x1800mm",ALA120210000,,E333,
,,,,,,,,○,도,도장포함 1100x1900mm,"DR111-외여닫이문(철재, 일반) 도장포함 1100x1900mm",ALA120212000,,E333,
,,,,,,,,○,도,도장포함 1100x2000mm,"DR111-외여닫이문(철재, 일반) 도장포함 1100x2000mm",ALA120215000,,E333,
,,,,,,,,○,도,도장포함 1100x2100mm,"DR111-외여닫이문(철재, 일반) 도장포함 1100x2100mm",ALA120213000,,E333,
,,,,,,,,○,도,도장포함 1100x2400mm,"DR111-외여닫이문(철재, 일반) 도장포함 1100x2400mm",ALA120214000,,E333,
,,,,,,,,○,유,유리포함 900x1800mm,"DR111-외여닫이문(철재, 일반) 유리포함 900x1800mm",,ALA12020000A,E333,
,,,,,,,,○,유,유리포함 900x1900mm,"DR111-외여닫이문(철재, 일반) 유리포함 900x1900mm",,ALA12020100A,E333,
,,,,,,,,○,유,유리포함 900x2000mm,"DR111-외여닫이문(철재, 일반) 유리포함 900x2000mm",,ALA12020200A,E333,
,,,,,,,,○,유,유리포함 900x2100mm,"DR111-외여닫이문(철재, 일반) 유리포함 900x2100mm",,ALA12020300A,E333,
,,,,,,,,○,유,유리포함 900x2400mm,"DR111-외여닫이문(철재, 일반) 유리포함 900x2400mm",,ALA12020400A,E333,
,,,,,,,,○,유,유리포함 1000x1800mm,"DR111-외여닫이문(철재, 일반) 유리포함 1000x1800mm",,ALA12020500A,E333,
,,,,,,,,○,유,유리포함 1000x1900mm,"DR111-외여닫이문(철재, 일반) 유리포함 1000x1900mm",,ALA12020600A,E333,
,,,,,,,,○,유,유리포함 1000x2000mm,"DR111-외여닫이문(철재, 일반) 유리포함 1000x2000mm",,ALA12020700A,E333,
