ifc_type                  , category              , family_name                              , kbims_code, family                                                                                                                              , type                                                                                                                                , type_id
IfcIfcSlab                , Floors                , Floor                                    , E251      , Floor: SL110-철근콘크리트구조 바닥_2-10S4_THK150                                                                                    , Floor: SL110-철근콘크리트구조 바닥_2-10S4_THK150                                                                                    , Floor: SL110-철근콘크리트구조 바닥_2-10S4_THK150
                          , Furniture             , FN122-업무용 책상(L형)                   , E81       , FN122-업무용 책상(L형): FN122-업무용 책상(L형) 1400x1200 좌형                                                                       , FN122-업무용 책상(L형): FN122-업무용 책상(L형) 1400x1200 좌형                                                                       , FN122-업무용 책상(L형): FN122-업무용 책상(L형) 1400x1200 좌형
                          , Floors                , Floor                                    , E251      , Floor: SL110-철근콘크리트구조 바닥_B2-1S2_THK150                                                                                    , Floor: SL110-철근콘크리트구조 바닥_B2-1S2_THK150                                                                                    , Floor: SL110-철근콘크리트구조 바닥_B2-1S2_THK150
IfcIfcBeam                , Structural Framing    , BM110-철근콘크리트구조 보                , E23       , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_RAWG1_600 x 600                                                               , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_RAWG1_600 x 600                                                               , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_RAWG1_600 x 600
                          , Structural Framing    , BM110-철근콘크리트구조 보                , E23       , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_B1-1WG1_400 x 850                                                             , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_B1-1WG1_400 x 850                                                             , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_B1-1WG1_400 x 850
IfcIfcFurnishingElement   , Furniture             , FN122-업무용 책상(L형)                   , E81       , FN122-업무용 책상(L형): FN122-업무용 책상(L형) 1800x1200 우형                                                                       , FN122-업무용 책상(L형): FN122-업무용 책상(L형) 1800x1200 우형                                                                       , FN122-업무용 책상(L형): FN122-업무용 책상(L형) 1800x1200 우형
IfcIfcBeam                , Structural Framing    , BM110-철근콘크리트구조 보                , E23       , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_RB4_400 x 500                                                                 , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_RB4_400 x 500                                                                 , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_RB4_400 x 500
                          , Furniture             , FN113-소파(4인용)                        , E81       , FN113-소파(4인용): FN113-소파(4인용) 2900x950                                                                                       , FN113-소파(4인용): FN113-소파(4인용) 2900x950                                                                                       , FN113-소파(4인용): FN113-소파(4인용) 2900x950
IfcIfcWall                , Walls                 , Basic Wall                               , E24       , Basic Wall: WA110-철근콘크리트구조 벽_CW3_T200                                                                                      , Basic Wall: WA110-철근콘크리트구조 벽_CW3_T200                                                                                      , Basic Wall: WA110-철근콘크리트구조 벽_CW3_T200
IfcIfcWall                , Walls                 , Basic Wall                               , E24       , Basic Wall: WA110-철근콘크리트구조 벽_BW1_T500                                                                                      , Basic Wall: WA110-철근콘크리트구조 벽_BW1_T500                                                                                      , Basic Wall: WA110-철근콘크리트구조 벽_BW1_T500
IfcIfcColumn              , Structural Columns    , CL111-철근콘크리트구조 기둥 (각형)       , E22       , CL111-철근콘크리트구조 기둥 (각형): CL111-철근콘크리트구조 기둥 (각형)_B2-7C3_800x800                                               , CL111-철근콘크리트구조 기둥 (각형): CL111-철근콘크리트구조 기둥 (각형)_B2-7C3_800x800                                               , CL111-철근콘크리트구조 기둥 (각형): CL111-철근콘크리트구조 기둥 (각형)_B2-7C3_800x800
                          , Curtain Wall Mullions , 직사각형 멀리언                          , E336      , 직사각형 멀리언: CW200-직사각형 멀리언 60 x 100mm                                                                                   , 직사각형 멀리언: CW200-직사각형 멀리언 60 x 100mm                                                                                   , 직사각형 멀리언: CW200-직사각형 멀리언 60 x 100mm
                          , Curtain Panels        , CW410-프로젝트 창                        , E336      , CW410-프로젝트 창: CW410-프로젝트 창 (하부개폐)                                                                                     , CW410-프로젝트 창: CW410-프로젝트 창 (하부개폐)                                                                                     , CW410-프로젝트 창: CW410-프로젝트 창 (하부개폐)
IfcIfcColumn              , Structural Columns    , CL111-철근콘크리트구조 기둥 (각형)       , E22       , CL111-철근콘크리트구조 기둥 (각형): CL111-철근콘크리트구조 기둥 (각형)_B2-B1C13_1020x400                                            , CL111-철근콘크리트구조 기둥 (각형): CL111-철근콘크리트구조 기둥 (각형)_B2-B1C13_1020x400                                            , CL111-철근콘크리트구조 기둥 (각형): CL111-철근콘크리트구조 기둥 (각형)_B2-B1C13_1020x400
                          , Furniture             , PF581-대변기 칸막이                      , E714      , PF581-대변기 칸막이: PF581-대변기 칸막이(오른쪽) 1300*950*2400                                                                      , PF581-대변기 칸막이: PF581-대변기 칸막이(오른쪽) 1300*950*2400                                                                      , PF581-대변기 칸막이: PF581-대변기 칸막이(오른쪽) 1300*950*2400
                          , Structural Framing    , BM110-철근콘크리트구조 보                , E23       , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_2-10WG1_400 x 400                                                             , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_2-10WG1_400 x 400                                                             , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_2-10WG1_400 x 400
                          , Floors                , Floor                                    , E25       , "Floor: A1-12-09B-쇠흙손마감, 와이어매쉬(#8 150x150), 무근콘크리트, 에폭시페인트 (100mm)"                                           , "Floor: A1-12-09B-쇠흙손마감, 와이어매쉬(#8 150x150), 무근콘크리트, 에폭시페인트 (100mm)"                                           , "Floor: A1-12-09B-쇠흙손마감, 와이어매쉬(#8 150x150), 무근콘크리트, 에폭시페인트 (100mm)"
                          , Furniture             , FN113-소파(3인용)                        , E81       , FN113-소파(3인용): FN113-소파(3인용) 2100x950                                                                                       , FN113-소파(3인용): FN113-소파(3인용) 2100x950                                                                                       , FN113-소파(3인용): FN113-소파(3인용) 2100x950
