ifc_type                  , category              , family_name                              , kbims_code, family                                                                                                                              , type                                                                                                                                , type_id
IfcIfcBeam                , Structural Framing    , BM110-철근콘크리트구조 보                , E23       , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_2-10G3_400 x 400                                                              , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_2-10G3_400 x 400                                                              , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_2-10G3_400 x 400
                          , Floors                , Floor                                    , E251      , Floor: SL110-철근콘크리트구조 바닥_1S4_THK200                                                                                       , Floor: SL110-철근콘크리트구조 바닥_1S4_THK200                                                                                       , Floor: SL110-철근콘크리트구조 바닥_1S4_THK200
IfcIfcSlab                , Floors                , Floor                                    , E251      , Floor: SL110-철근콘크리트구조 바닥_2-10S3_THK150                                                                                    , Floor: SL110-철근콘크리트구조 바닥_2-10S3_THK150                                                                                    , Floor: SL110-철근콘크리트구조 바닥_2-10S3_THK150
                          , Floors                , Floor                                    , E25       , Floor: SL440-목재블록 바닥                                                                                                          , Floor: SL440-목재블록 바닥                                                                                                          , Floor: SL440-목재블록 바닥
IfcIfcWall                , Walls                 , Basic Wall                               , E24       , "Basic Wall: A1-33-01B-시멘트 모르타르, 도기질타일 (30mm)"                                                                          , "Basic Wall: A1-33-01B-시멘트 모르타르, 도기질타일 (30mm)"                                                                          , "Basic Wall: A1-33-01B-시멘트 모르타르, 도기질타일 (30mm)"
                          , Floors                , Floor                                    , E251      , Floor: SL110-철근콘크리트구조 바닥_RS2_THK150                                                                                       , Floor: SL110-철근콘크리트구조 바닥_RS2_THK150                                                                                       , Floor: SL110-철근콘크리트구조 바닥_RS2_THK150
IfcIfcBeam                , Structural Framing    , BM110-철근콘크리트구조 보                , E23       , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_B1-1B1_400 x 850                                                              , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_B1-1B1_400 x 850                                                              , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_B1-1B1_400 x 850
IfcIfcWallStandardCase    , Walls                 , Basic Wall                               , E24       , Basic Wall: WA310-화강석 벽                                                                                                         , Basic Wall: WA310-화강석 벽                                                                                                         , Basic Wall: WA310-화강석 벽
IfcIfcFurnishingElement   , Furniture             , PF531-거울                               , E71320    , PF531-거울: PF531-거울 600x800                                                                                                      , PF531-거울: PF531-거울 600x800                                                                                                      , PF531-거울: PF531-거울 600x800
                          , Structural Framing    , BM110-철근콘크리트구조 보                , E23       , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_2-10G12_600 x 400                                                             , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_2-10G12_600 x 400                                                             , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_2-10G12_600 x 400
IfcIfcColumn              , Structural Columns    , CL111-철근콘크리트구조 기둥 (각형)       , E22       , CL111-철근콘크리트구조 기둥 (각형): CL111-철근콘크리트구조 기둥 (각형)_B2-B1C11_500x500                                             , CL111-철근콘크리트구조 기둥 (각형): CL111-철근콘크리트구조 기둥 (각형)_B2-B1C11_500x500                                             , CL111-철근콘크리트구조 기둥 (각형): CL111-철근콘크리트구조 기둥 (각형)_B2-B1C11_500x500
IfcIfcFurnishingElement   , Furniture             , PF591-대변기용 장애인 손잡이(T자 고정식) , E713      , PF591-대변기용 장애인 손잡이(T자 고정식): PF591-대변기용 장애인 손잡이(T자 고정식)                                                  , PF591-대변기용 장애인 손잡이(T자 고정식): PF591-대변기용 장애인 손잡이(T자 고정식)                                                  , PF591-대변기용 장애인 손잡이(T자 고정식): PF591-대변기용 장애인 손잡이(T자 고정식)
IfcIfcWall                , Walls                 , Basic Wall                               , E24       , Basic Wall: WA110-철근콘크리트구조 벽_BW3_T500                                                                                      , Basic Wall: WA110-철근콘크리트구조 벽_BW3_T500                                                                                      , Basic Wall: WA110-철근콘크리트구조 벽_BW3_T500
                          , Floors                , Floor                                    , E25       , "Floor: A1-14-03A-시멘트모르타르(고름용), 도막방수, 시멘트모르타르(보호용), 자기질타일 (90mm)"                                      , "Floor: A1-14-03A-시멘트모르타르(고름용), 도막방수, 시멘트모르타르(보호용), 자기질타일 (90mm)"                                      , "Floor: A1-14-03A-시멘트모르타르(고름용), 도막방수, 시멘트모르타르(보호용), 자기질타일 (90mm)"
IfcIfcSlab                , Floors                , Floor                                    , E25       , "Floor: A1-12-09B-쇠흙손마감, 와이어매쉬(#8 150x150), 무근콘크리트, 에폭시페인트 (100mm)"                                           , "Floor: A1-12-09B-쇠흙손마감, 와이어매쉬(#8 150x150), 무근콘크리트, 에폭시페인트 (100mm)"                                           , "Floor: A1-12-09B-쇠흙손마감, 와이어매쉬(#8 150x150), 무근콘크리트, 에폭시페인트 (100mm)"
                          , Furniture             , PF581-대변기 칸막이                      , E714      , PF581-대변기 칸막이: PF581-대변기 칸막이(출입면) 1300*900*2400                                                                      , PF581-대변기 칸막이: PF581-대변기 칸막이(출입면) 1300*900*2400                                                                      , PF581-대변기 칸막이: PF581-대변기 칸막이(출입면) 1300*900*2400
                          , Walls                 , Basic Wall                               , E24       , "Basic Wall: A1-32-06A-콘크리트면정리, 시멘트모르타르(미장용), 수성페인트(내부) (18mm)"                                             , "Basic Wall: A1-32-06A-콘크리트면정리, 시멘트모르타르(미장용), 수성페인트(내부) (18mm)"                                             , "Basic Wall: A1-32-06A-콘크리트면정리, 시멘트모르타르(미장용), 수성페인트(내부) (18mm)"
IfcIfcFurnishingElement   , Furniture             , FN122-업무용 책상(L형)                   , E81       , FN122-업무용 책상(L형): FN122-업무용 책상(L형) 1400x1200 좌형                                                                       , FN122-업무용 책상(L형): FN122-업무용 책상(L형) 1400x1200 좌형                                                                       , FN122-업무용 책상(L형): FN122-업무용 책상(L형) 1400x1200 좌형
IfcIfcWindow              , Windows               , WD730-그릴창                             , E334      , WD730-그릴창: WD730-그릴창_알루미늄바_ST1_THK100                                                                                    , WD730-그릴창: WD730-그릴창_알루미늄바_ST1_THK100                                                                                    , WD730-그릴창: WD730-그릴창_알루미늄바_ST1_THK100
                          , Generic Models        , SE251-기본주차                           , E77       , SE251-기본주차: SE251-기본주차 장애인전용                                                                                           , SE251-기본주차: SE251-기본주차 장애인전용                                                                                           , SE251-기본주차: SE251-기본주차 장애인전용
IfcIfcBeam                , Structural Framing    , BM110-철근콘크리트구조 보                , E23       , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_RG1_400 x 500                                                                 , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_RG1_400 x 500                                                                 , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_RG1_400 x 500
                          , Structural Framing    , BM110-철근콘크리트구조 보                , E23       , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_1B7_800 x 800                                                                 , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_1B7_800 x 800                                                                 , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_1B7_800 x 800
                          , Structural Columns    , CL111-철근콘크리트구조 기둥 (각형)       , E22       , CL111-철근콘크리트구조 기둥 (각형): CL111-철근콘크리트구조 기둥 (각형)_B2-4C1_800x800                                               , CL111-철근콘크리트구조 기둥 (각형): CL111-철근콘크리트구조 기둥 (각형)_B2-4C1_800x800                                               , CL111-철근콘크리트구조 기둥 (각형): CL111-철근콘크리트구조 기둥 (각형)_B2-4C1_800x800
IfcIfcBeam                , Structural Framing    , BM110-철근콘크리트구조 보                , E23       , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_RG2_400 x 500                                                                 , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_RG2_400 x 500                                                                 , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_RG2_400 x 500
IfcIfcBeam                , Structural Framing    , BM110-철근콘크리트구조 보                , E23       , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_B1-1WG1_400 x 850                                                             , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_B1-1WG1_400 x 850                                                             , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_B1-1WG1_400 x 850
                          , Floors                , Floor                                    , E251      , Floor: SL110-철근콘크리트구조 바닥_2-10S1_THK150                                                                                    , Floor: SL110-철근콘크리트구조 바닥_2-10S1_THK150                                                                                    , Floor: SL110-철근콘크리트구조 바닥_2-10S1_THK150
IfcIfcBuildingElementProxy, Generic Models        , SE251-장애인 표시                        , E77       , SE251-장애인 표시: SE251-장애인 표시                                                                                                , SE251-장애인 표시: SE251-장애인 표시                                                                                                , SE251-장애인 표시: SE251-장애인 표시
                          , Walls                 , Basic Wall                               , E24       , "Basic Wall: A2-26-01A-압출스치로품, 금속 긴결철물, 금속외장패널 (150mm)"                                                           , "Basic Wall: A2-26-01A-압출스치로품, 금속 긴결철물, 금속외장패널 (150mm)"                                                           , "Basic Wall: A2-26-01A-압출스치로품, 금속 긴결철물, 금속외장패널 (150mm)"
IfcIfcFlowTerminal        , Plumbing Fixtures     , PF123-유아용 서양식 변기                 , E71210    , PF123-유아용 서양식 변기: PF123-유아용 서양식 변기                                                                                  , PF123-유아용 서양식 변기: PF123-유아용 서양식 변기                                                                                  , PF123-유아용 서양식 변기: PF123-유아용 서양식 변기
IfcIfcSlab                , Floors                , Floor                                    , E251      , Floor: SL110-철근콘크리트구조 바닥_B2-1S2_THK150                                                                                    , Floor: SL110-철근콘크리트구조 바닥_B2-1S2_THK150                                                                                    , Floor: SL110-철근콘크리트구조 바닥_B2-1S2_THK150
IfcIfcWallStandardCase    , Walls                 , Basic Wall                               , E24       , Basic Wall: WA110-철근콘크리트구조 벽_W1_T200                                                                                       , Basic Wall: WA110-철근콘크리트구조 벽_W1_T200                                                                                       , Basic Wall: WA110-철근콘크리트구조 벽_W1_T200
                          , Generic Models        , PF583-장애인 칸막이                      , E714      , PF583-장애인 칸막이: PF583-장애인 칸막이                                                                                            , PF583-장애인 칸막이: PF583-장애인 칸막이                                                                                            , PF583-장애인 칸막이: PF583-장애인 칸막이
IfcIfcFurnishingElement   , Furniture             , FN114-소파테이블(각형)                   , E81       , FN114-소파테이블(각형): FN114-소파테이블(각형) 1200x600                                                                             , FN114-소파테이블(각형): FN114-소파테이블(각형) 1200x600                                                                             , FN114-소파테이블(각형): FN114-소파테이블(각형) 1200x600
IfcIfcBeam                , Structural Framing    , BM110-철근콘크리트구조 보                , E23       , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_2-10B3_400 x 400                                                              , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_2-10B3_400 x 400                                                              , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_2-10B3_400 x 400
IfcIfcFurnishingElement   , Furniture             , PF581-대변기 칸막이                      , E714      , PF581-대변기 칸막이: PF581-대변기 칸막이(출입면) 970*1430*1900                                                                      , PF581-대변기 칸막이: PF581-대변기 칸막이(출입면) 970*1430*1900                                                                      , PF581-대변기 칸막이: PF581-대변기 칸막이(출입면) 970*1430*1900
IfcIfcWallStandardCase    , Walls                 , Basic Wall                               , E24       , Basic Wall: WA110-철근콘크리트구조 벽_CW1_T200                                                                                      , Basic Wall: WA110-철근콘크리트구조 벽_CW1_T200                                                                                      , Basic Wall: WA110-철근콘크리트구조 벽_CW1_T200
IfcIfcSlab                , Floors                , Floor                                    , E25       , "Floor: A1-12-06A-알칼리방지용방수, 시멘트모르타르(보호용), 자동수평 모르타르, 우레탄페인트 (40mm)"                                 , "Floor: A1-12-06A-알칼리방지용방수, 시멘트모르타르(보호용), 자동수평 모르타르, 우레탄페인트 (40mm)"                                 , "Floor: A1-12-06A-알칼리방지용방수, 시멘트모르타르(보호용), 자동수평 모르타르, 우레탄페인트 (40mm)"
IfcIfcSlab                , Floors                , Floor                                    , E251      , Floor: SL110-철근콘크리트구조 바닥_1S13_THK200                                                                                      , Floor: SL110-철근콘크리트구조 바닥_1S13_THK200                                                                                      , Floor: SL110-철근콘크리트구조 바닥_1S13_THK200
                          , Walls                 , Basic Wall                               , E24       , Basic Wall: WA110-철근콘크리트구조 벽_BW2_T500                                                                                      , Basic Wall: WA110-철근콘크리트구조 벽_BW2_T500                                                                                      , Basic Wall: WA110-철근콘크리트구조 벽_BW2_T500
                          , Walls                 , Basic Wall                               , E24       , Basic Wall: WA110-철근콘크리트구조 벽_CW3_T200                                                                                      , Basic Wall: WA110-철근콘크리트구조 벽_CW3_T200                                                                                      , Basic Wall: WA110-철근콘크리트구조 벽_CW3_T200
                          , Doors                 , "DR121-쌍여닫이문(철재, 방화문)"         , E333      , "DR121-쌍여닫이문(철재, 방화문): DR121-쌍여닫이문(철재, 방화문) 1800x2100mm_FSD2"                                                   , "DR121-쌍여닫이문(철재, 방화문): DR121-쌍여닫이문(철재, 방화문) 1800x2100mm_FSD2"                                                   , "DR121-쌍여닫이문(철재, 방화문): DR121-쌍여닫이문(철재, 방화문) 1800x2100mm_FSD2"
IfcIfcWallStandardCase    , Walls                 , Basic Wall                               , E24       , Basic Wall: WA110-철근콘크리트구조 벽_BW1_T500                                                                                      , Basic Wall: WA110-철근콘크리트구조 벽_BW1_T500                                                                                      , Basic Wall: WA110-철근콘크리트구조 벽_BW1_T500
IfcIfcBeam                , Structural Framing    , BM110-철근콘크리트구조 보                , E23       , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_RB5_400 x 500                                                                 , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_RB5_400 x 500                                                                 , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_RB5_400 x 500
                          , Structural Framing    , BM110-철근콘크리트구조 보                , E23       , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_RG3_400 x 500                                                                 , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_RG3_400 x 500                                                                 , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_RG3_400 x 500
IfcIfcBeam                , Structural Framing    , BM110-철근콘크리트구조 보                , E23       , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_1B3_400 x 600                                                                 , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_1B3_400 x 600                                                                 , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_1B3_400 x 600
                          , Walls                 , Basic Wall                               , E24       , Basic Wall: WA310-화강석 벽                                                                                                         , Basic Wall: WA310-화강석 벽                                                                                                         , Basic Wall: WA310-화강석 벽
IfcIfcSlab                , Floors                , Floor                                    , E251      , Floor: SL110-철근콘크리트구조 바닥_2-10S2_THK150                                                                                    , Floor: SL110-철근콘크리트구조 바닥_2-10S2_THK150                                                                                    , Floor: SL110-철근콘크리트구조 바닥_2-10S2_THK150
                          , Furniture             , PF582-소변기 칸막이                      , E714      , PF582-소변기 칸막이: PF582-소변기 칸막이                                                                                            , PF582-소변기 칸막이: PF582-소변기 칸막이                                                                                            , PF582-소변기 칸막이: PF582-소변기 칸막이
IfcIfcWallStandardCase    , Walls                 , Basic Wall                               , E24       , Basic Wall: WA110-철근콘크리트구조 벽_W3_T125                                                                                       , Basic Wall: WA110-철근콘크리트구조 벽_W3_T125                                                                                       , Basic Wall: WA110-철근콘크리트구조 벽_W3_T125
                          , Walls                 , Basic Wall                               , E24       , Basic Wall: WA110-철근콘크리트구조 벽_CW1_T200                                                                                      , Basic Wall: WA110-철근콘크리트구조 벽_CW1_T200                                                                                      , Basic Wall: WA110-철근콘크리트구조 벽_CW1_T200
IfcIfcBuildingElementProxy, Generic Models        , PF583-장애인 칸막이                      , E714      , PF583-장애인 칸막이: PF583-장애인 칸막이                                                                                            , PF583-장애인 칸막이: PF583-장애인 칸막이                                                                                            , PF583-장애인 칸막이: PF583-장애인 칸막이
IfcIfcBeam                , Structural Framing    , BM110-철근콘크리트구조 보                , E23       , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_RG8_400 x 500                                                                 , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_RG8_400 x 500                                                                 , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_RG8_400 x 500
                          , Structural Framing    , BM110-철근콘크리트구조 보                , E23       , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_RG10_500 x 500                                                                , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_RG10_500 x 500                                                                , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_RG10_500 x 500
                          , Floors                , Floor                                    , E251      , Floor: SL110-철근콘크리트구조 바닥_RS1_THK150                                                                                       , Floor: SL110-철근콘크리트구조 바닥_RS1_THK150                                                                                       , Floor: SL110-철근콘크리트구조 바닥_RS1_THK150
                          , Plumbing Fixtures     , PF127-서양식 탱크일체형                  , E71210    , PF127-서양식 탱크일체형: PF127-서양식 탱크일체형                                                                                    , PF127-서양식 탱크일체형: PF127-서양식 탱크일체형                                                                                    , PF127-서양식 탱크일체형: PF127-서양식 탱크일체형
                          , Structural Framing    , BM110-철근콘크리트구조 보                , E23       , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_2-10B5_400 x 400                                                              , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_2-10B5_400 x 400                                                              , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_2-10B5_400 x 400
                          , Walls                 , Basic Wall                               , E24       , Basic Wall: WA110-철근콘크리트구조 벽_BW1_T500                                                                                      , Basic Wall: WA110-철근콘크리트구조 벽_BW1_T500                                                                                      , Basic Wall: WA110-철근콘크리트구조 벽_BW1_T500
IfcIfcWallStandardCase    , Walls                 , Basic Wall                               , E24       , Basic Wall: WA110-철근콘크리트구조 벽_BW1_T400                                                                                      , Basic Wall: WA110-철근콘크리트구조 벽_BW1_T400                                                                                      , Basic Wall: WA110-철근콘크리트구조 벽_BW1_T400
IfcIfcPlate               , Curtain Panels        , CW410-프로젝트 창                        , E336      , CW410-프로젝트 창: CW410-프로젝트 창 (하부개폐)                                                                                     , CW410-프로젝트 창: CW410-프로젝트 창 (하부개폐)                                                                                     , CW410-프로젝트 창: CW410-프로젝트 창 (하부개폐)
IfcIfcBuildingElementProxy, Generic Models        , SE251-기본주차                           , E77       , SE251-기본주차: SE251-기본주차 장애인전용                                                                                           , SE251-기본주차: SE251-기본주차 장애인전용                                                                                           , SE251-기본주차: SE251-기본주차 장애인전용
IfcIfcWallStandardCase    , Walls                 , Basic Wall                               , E24       , Basic Wall: WA110-철근콘크리트구조 벽_RaW1_T300                                                                                     , Basic Wall: WA110-철근콘크리트구조 벽_RaW1_T300                                                                                     , Basic Wall: WA110-철근콘크리트구조 벽_RaW1_T300
                          , Walls                 , Basic Wall                               , E24       , Basic Wall: WA110-철근콘크리트구조 벽_W3_T125                                                                                       , Basic Wall: WA110-철근콘크리트구조 벽_W3_T125                                                                                       , Basic Wall: WA110-철근콘크리트구조 벽_W3_T125
IfcIfcWall                , Walls                 , Basic Wall                               , E24       , "Basic Wall: A2-22-02A-압출스치로품, BRACKET(STEEL), ALC블록 (150mm)"                                                               , "Basic Wall: A2-22-02A-압출스치로품, BRACKET(STEEL), ALC블록 (150mm)"                                                               , "Basic Wall: A2-22-02A-압출스치로품, BRACKET(STEEL), ALC블록 (150mm)"
                          , Furniture             , PF581-대변기 칸막이                      , E714      , PF581-대변기 칸막이: PF581-대변기 칸막이(오른쪽) 1300*900*1900                                                                      , PF581-대변기 칸막이: PF581-대변기 칸막이(오른쪽) 1300*900*1900                                                                      , PF581-대변기 칸막이: PF581-대변기 칸막이(오른쪽) 1300*900*1900
IfcIfcBeam                , Structural Framing    , BM110-철근콘크리트구조 보                , E23       , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_2-10B1_400 x 400                                                              , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_2-10B1_400 x 400                                                              , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_2-10B1_400 x 400
IfcIfcBeam                , Structural Framing    , BM110-철근콘크리트구조 보                , E23       , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_2-10B4_400 x 400                                                              , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_2-10B4_400 x 400                                                              , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_2-10B4_400 x 400
                          , Furniture             , FN111-바스툴 웨이브 고정형               , E81       , FN111-바스툴 웨이브 고정형: FN111-바스툴 웨이브 고정형 풋링 650x650x1000                                                            , FN111-바스툴 웨이브 고정형: FN111-바스툴 웨이브 고정형 풋링 650x650x1000                                                            , FN111-바스툴 웨이브 고정형: FN111-바스툴 웨이브 고정형 풋링 650x650x1000
                          , Structural Framing    , BM110-철근콘크리트구조 보                , E23       , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_RG11_500 x 500                                                                , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_RG11_500 x 500                                                                , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_RG11_500 x 500
                          , Furniture             , FN111-로비의자 원형                      , E81       , FN111-로비의자 원형: FN111-로비의자 원형 테블릿 4인용 2300x500x610                                                                  , FN111-로비의자 원형: FN111-로비의자 원형 테블릿 4인용 2300x500x610                                                                  , FN111-로비의자 원형: FN111-로비의자 원형 테블릿 4인용 2300x500x610
                          , Walls                 , Basic Wall                               , E24       , Basic Wall: WA211-시멘트벽돌(일반) 벽 (0.5B) 90mm                                                                                   , Basic Wall: WA211-시멘트벽돌(일반) 벽 (0.5B) 90mm                                                                                   , Basic Wall: WA211-시멘트벽돌(일반) 벽 (0.5B) 90mm
IfcIfcFurnishingElement   , Furniture             , FN122-회의실 원형 테이블 세트 5인용      , E81       , FN122-회의실 원형 테이블 세트 5인용: FN122-회의실 원형 테이블 세트 5인용                                                            , FN122-회의실 원형 테이블 세트 5인용: FN122-회의실 원형 테이블 세트 5인용                                                            , FN122-회의실 원형 테이블 세트 5인용: FN122-회의실 원형 테이블 세트 5인용
IfcIfcSlab                , Floors                , Floor                                    , E251      , Floor: SL110-철근콘크리트구조 바닥_B2-1S1_THK150                                                                                    , Floor: SL110-철근콘크리트구조 바닥_B2-1S1_THK150                                                                                    , Floor: SL110-철근콘크리트구조 바닥_B2-1S1_THK150
                          , Floors                , Floor                                    , E251      , Floor: SL110-철근콘크리트구조 바닥_RS4_THK150                                                                                       , Floor: SL110-철근콘크리트구조 바닥_RS4_THK150                                                                                       , Floor: SL110-철근콘크리트구조 바닥_RS4_THK150
                          , Structural Framing    , BM110-철근콘크리트구조 보                , E23       , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_1G7(역보)_400 x 500                                                           , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_1G7(역보)_400 x 500                                                           , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_1G7(역보)_400 x 500
                          , Structural Framing    , BM110-철근콘크리트구조 보                , E23       , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_RG6_400 x 500                                                                 , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_RG6_400 x 500                                                                 , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_RG6_400 x 500
                          , Walls                 , Basic Wall                               , E24       , Basic Wall: WA110-철근콘크리트구조 벽_BW1_T400                                                                                      , Basic Wall: WA110-철근콘크리트구조 벽_BW1_T400                                                                                      , Basic Wall: WA110-철근콘크리트구조 벽_BW1_T400
IfcIfcColumn              , Structural Columns    , CL111-철근콘크리트구조 기둥 (각형)       , E22       , CL111-철근콘크리트구조 기둥 (각형): CL111-철근콘크리트구조 기둥 (각형)_B2-10C4_600x600                                              , CL111-철근콘크리트구조 기둥 (각형): CL111-철근콘크리트구조 기둥 (각형)_B2-10C4_600x600                                              , CL111-철근콘크리트구조 기둥 (각형): CL111-철근콘크리트구조 기둥 (각형)_B2-10C4_600x600
                          , Walls                 , Basic Wall                               , E24       , Basic Wall: WA110-철근콘크리트구조 벽_RaW1_T300                                                                                     , Basic Wall: WA110-철근콘크리트구조 벽_RaW1_T300                                                                                     , Basic Wall: WA110-철근콘크리트구조 벽_RaW1_T300
IfcIfcFurnishingElement   , Furniture             , PF591-대변기용 장애인 손잡이(상하가동식) , E713      , PF591-대변기용 장애인 손잡이(상하가동식): PF591-대변기용 장애인 손잡이(상하가동식)                                                  , PF591-대변기용 장애인 손잡이(상하가동식): PF591-대변기용 장애인 손잡이(상하가동식)                                                  , PF591-대변기용 장애인 손잡이(상하가동식): PF591-대변기용 장애인 손잡이(상하가동식)
IfcIfcSlab                , Floors                , Floor                                    , E251      , Floor: SL110-철근콘크리트구조 바닥_B2-1S3_THK150                                                                                    , Floor: SL110-철근콘크리트구조 바닥_B2-1S3_THK150                                                                                    , Floor: SL110-철근콘크리트구조 바닥_B2-1S3_THK150
                          , Ceilings              , Compound Ceiling                         , E36       , "Compound Ceiling: A1-46-01B-콘크리트면정리, 유리면 흡음판(그라스크로스) (50mm)"                                                    , "Compound Ceiling: A1-46-01B-콘크리트면정리, 유리면 흡음판(그라스크로스) (50mm)"                                                    , "Compound Ceiling: A1-46-01B-콘크리트면정리, 유리면 흡음판(그라스크로스) (50mm)"
                          , Plumbing Fixtures     , PF231-장애인용 소변기                    , E71215    , PF231-장애인용 소변기: PF231-장애인용 소변기                                                                                        , PF231-장애인용 소변기: PF231-장애인용 소변기                                                                                        , PF231-장애인용 소변기: PF231-장애인용 소변기
IfcIfcFurnishingElement   , Furniture             , FN113-소파(3인용)                        , E81       , FN113-소파(3인용): FN113-소파(3인용) 2100x950                                                                                       , FN113-소파(3인용): FN113-소파(3인용) 2100x950                                                                                       , FN113-소파(3인용): FN113-소파(3인용) 2100x950
                          , Furniture             , PF581-대변기 칸막이                      , E714      , PF581-대변기 칸막이: PF581-대변기 칸막이(출입면) 970*1430*2400                                                                      , PF581-대변기 칸막이: PF581-대변기 칸막이(출입면) 970*1430*2400                                                                      , PF581-대변기 칸막이: PF581-대변기 칸막이(출입면) 970*1430*2400
IfcIfcWall                , Walls                 , Basic Wall                               , E24       , Basic Wall: WA211-시멘트벽돌(일반) 벽 (0.5B) 90mm                                                                                   , Basic Wall: WA211-시멘트벽돌(일반) 벽 (0.5B) 90mm                                                                                   , Basic Wall: WA211-시멘트벽돌(일반) 벽 (0.5B) 90mm
                          , Structural Framing    , BM110-철근콘크리트구조 보                , E23       , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_RG4_400 x 500                                                                 , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_RG4_400 x 500                                                                 , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_RG4_400 x 500
                          , Walls                 , Basic Wall                               , E24       , Basic Wall: WA110-철근콘크리트구조 벽_BW4_T500                                                                                      , Basic Wall: WA110-철근콘크리트구조 벽_BW4_T500                                                                                      , Basic Wall: WA110-철근콘크리트구조 벽_BW4_T500
IfcIfcMember              , Curtain Wall Mullions , 직사각형 멀리언                          , E336      , 직사각형 멀리언: CW200-직사각형 멀리언 60 x 100mm                                                                                   , 직사각형 멀리언: CW200-직사각형 멀리언 60 x 100mm                                                                                   , 직사각형 멀리언: CW200-직사각형 멀리언 60 x 100mm
IfcIfcFurnishingElement   , Furniture             , FN113-소파(2인용)                        , E81       , FN113-소파(2인용): FN113-소파(2인용) 1360x860                                                                                       , FN113-소파(2인용): FN113-소파(2인용) 1360x860                                                                                       , FN113-소파(2인용): FN113-소파(2인용) 1360x860
IfcIfcSlab                , Floors                , Floor                                    , E251      , Floor: SL110-철근콘크리트구조 바닥_1S12_THK200                                                                                      , Floor: SL110-철근콘크리트구조 바닥_1S12_THK200                                                                                      , Floor: SL110-철근콘크리트구조 바닥_1S12_THK200
