PredefinedType,Category,Family,StructuralUsage,StructuralMaterial,Width,Height,Length,Volume,CrossSectionArea,IsExternal,LoadBearing,PartCode
,Structural Framing,BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_B1-1G5_500 x 850,Other,KBIMS-콘크리트,500,850,10050.0,3.27375293501204,0.425,0,True,E23
,Structural Framing,BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_B1-1G3_400 x 850,Girder,KBIMS-콘크리트,400,850,2950.0,0.661500134189104,0.34,0,True,E23
,Structural Framing,BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_B1-1G5_500 x 850,Other,KBIMS-콘크리트,500,850,10800.0,3.31500000891603,0.425,0,True,E23
,Structural Framing,BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_B1-1G3_400 x 850,Other,KBIMS-콘크리트,400,850,4160.0,0.895997581379752,0.34,0,True,E23
,Structural Framing,BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_B1-1G5_500 x 850,Other,KBIMS-콘크리트,500,850,9900.0,3.21641893743509,0.425,0,True,E23
,Structural Framing,BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_B1-1G3_400 x 850,Other,KBIMS-콘크리트,400,850,3050.0,0.699998372188652,0.34,0,True,E23
,Structural Framing,BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_B1-1G5_500 x 850,Other,KBIMS-콘크리트,500,850,9050.0,2.90500304254451,0.425,0,True,E23
,Structural Framing,BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_B1-1B2_400 x 800,Girder,KBIMS-콘크리트,400,800,8650.0,2.11899996343446,0.32,0,True,E23
,Structural Framing,BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_B1-1G3_400 x 850,Other,KBIMS-콘크리트,400,850,3650.0,0.81199757621585,0.34,0,True,E23
,Structural Framing,BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_B1-1G2_400 x 850,Girder,KBIMS-콘크리트,400,850,8481.0,2.2835308023789,0.34,0,True,E23
,Structural Framing,BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_B1-1G3_400 x 850,Other,KBIMS-콘크리트,400,850,3650.0,0.857497576215853,0.34,0,True,E23
,Structural Framing,BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_B1-1G2_400 x 850,Girder,KBIMS-콘크리트,400,850,8500.0,2.19799997897172,0.34,0,True,E23
,Structural Framing,BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_B1-1G3_400 x 850,Girder,KBIMS-콘크리트,400,850,2600.0,0.714000139159187,0.34,0,True,E23
,Structural Framing,BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_B1-1G3_400 x 850,Other,KBIMS-콘크리트,400,850,1900.0,0.489997576215843,0.34,0,True,E23
,Structural Framing,BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_B1-1G1_400 x 850,Other,KBIMS-콘크리트,400,850,10450.0,2.70200243403559,0.34,0,True,E23
