ifc_type                  , category              , family_name                                 , kbims_code  , pps_code                                                         , family                                                                                                                              , type                                                                                                                                , type_id
IfcIfcWindow              , Windows               , WD730-그릴창                                , E334        , ALB167900000                                                     , WD730-그릴창: WD730-그릴창_알루미늄바_ST1_THK100                                                                                    , WD730-그릴창: WD730-그릴창_알루미늄바_ST1_THK100                                                                                    , WD730-그릴창: WD730-그릴창_알루미늄바_ST1_THK100
IfcIfcWallStandardCase    , 벽                    , 기본 벽                                     , E275        , AD                                                               , 기본 벽                                                                                                                             , WA111-철근콘크리트구조 벽 500mm_BW5                                                                                                 , 7626577
IfcIfcColumn              , 구조 기둥             , CL111-철근콘크리트구조 기둥 (각형)1         , E22         , AD                                                               , CL111-철근콘크리트구조 기둥 (각형)1                                                                                                 , CL111-철근콘크리트구조 기둥 (각형)_800x800_2-7C2                                                                                    , 7669458
IfcIfcWall                , Walls                 , Basic Wall                                  , E24         , AFC100+AJM+WA821                                                 , "Basic Wall: A2-22-02A-압출스치로품, BRACKET(STEEL), ALC블록 (150mm)"                                                               , "Basic Wall: A2-22-02A-압출스치로품, BRACKET(STEEL), ALC블록 (150mm)"                                                               , "Basic Wall: A2-22-02A-압출스치로품, BRACKET(STEEL), ALC블록 (150mm)"
IfcIfcWallStandardCase    , Walls                 , Basic Wall                                  , E24         , AJN+AJM4+WA821                                                   , "Basic Wall: A2-26-01A-압출스치로품, 금속 긴결철물, 금속외장패널 (150mm)"                                                           , "Basic Wall: A2-26-01A-압출스치로품, 금속 긴결철물, 금속외장패널 (150mm)"                                                           , "Basic Wall: A2-26-01A-압출스치로품, 금속 긴결철물, 금속외장패널 (150mm)"
IfcIfcFurnishingElement   , Furniture             , FN122-회의 테이블 세트(6인)                 , E81         , APA                                                              , FN122-회의 테이블 세트(6인): FN122-회의 테이블 세트(6인) 5200x3400                                                                  , FN122-회의 테이블 세트(6인): FN122-회의 테이블 세트(6인) 5200x3400                                                                  , FN122-회의 테이블 세트(6인): FN122-회의 테이블 세트(6인) 5200x3400
IfcIfcBeam                , 구조 프레임           , BM111-철근콘크리트구조 보                   , E23         , AD                                                               , BM111-철근콘크리트구조 보                                                                                                           , BM110-철근 콘크리트구조 보_600 x 600_RAWG1                                                                                          , 7669397
IfcIfcBuildingElementProxy, Generic Models        , SE251-기본주차                              , E77         , CLH2601                                                          , SE251-기본주차: SE251-기본주차 경형                                                                                                 , SE251-기본주차: SE251-기본주차 경형                                                                                                 , SE251-기본주차: SE251-기본주차 경형
IfcIfcPlate               , Curtain Panels        , CW410-프로젝트 창                           , E336        , ALC1                                                             , CW410-프로젝트 창: CW410-프로젝트 창 (하부개폐)                                                                                     , CW410-프로젝트 창: CW410-프로젝트 창 (하부개폐)                                                                                     , CW410-프로젝트 창: CW410-프로젝트 창 (하부개폐)
IfcIfcBeam                , 구조 프레임           , BM111-철근콘크리트구조 보                   , E23         , AD                                                               , BM111-철근콘크리트구조 보                                                                                                           , BM110-철근 콘크리트구조 보_400 x 800_B1-1B2                                                                                         , 7667211
IfcIfcSlab                , Floors                , Floor                                       , E251        , AD                                                               , Floor: SL110-철근콘크리트구조 바닥_2-10S2_THK150                                                                                    , Floor: SL110-철근콘크리트구조 바닥_2-10S2_THK150                                                                                    , Floor: SL110-철근콘크리트구조 바닥_2-10S2_THK150
IfcIfcFurnishingElement   , Furniture             , PF531-거울                                  , E71320      , HB3                                                              , PF531-거울: PF531-거울 800x800                                                                                                      , PF531-거울: PF531-거울 800x800                                                                                                      , PF531-거울: PF531-거울 800x800
IfcIfcFurnishingElement   , Furniture             , PF581-대변기 칸막이                         , E714        , AOC771                                                           , PF581-대변기 칸막이: PF581-대변기 칸막이(왼쪽) 970*1430*2400                                                                        , PF581-대변기 칸막이: PF581-대변기 칸막이(왼쪽) 970*1430*2400                                                                        , PF581-대변기 칸막이: PF581-대변기 칸막이(왼쪽) 970*1430*2400
IfcIfcColumn              , Structural Columns    , CL111-철근콘크리트구조 기둥 (각형)          , E22         , AD                                                               , CL111-철근콘크리트구조 기둥 (각형): CL111-철근콘크리트구조 기둥 (각형)_B2-4C1_800x800                                               , CL111-철근콘크리트구조 기둥 (각형): CL111-철근콘크리트구조 기둥 (각형)_B2-4C1_800x800                                               , CL111-철근콘크리트구조 기둥 (각형): CL111-철근콘크리트구조 기둥 (각형)_B2-4C1_800x800
IfcIfcSlab                , 바닥                  , 바닥                                        , E251        , AD+AMB3032E                                                      , 바닥                                                                                                                                , (복합)SL111(150_S2)+A1-14-06B_철콘+테라조                                                                                           , 7725828
IfcIfcColumn              , Structural Columns    , CL120-철골구조 기둥                         , E22         , AEA                                                              , CL120-철골구조 기둥: CL120-철골구조 H형강(H-200x200) 기둥_SC11_H-200x200x8x12                                                       , CL120-철골구조 기둥: CL120-철골구조 H형강(H-200x200) 기둥_SC11_H-200x200x8x12                                                       , CL120-철골구조 기둥: CL120-철골구조 H형강(H-200x200) 기둥_SC11_H-200x200x8x12
IfcIfcDoor                , 문                    , EE111-엘리베이터문(문)                      , E66110      , EPA                                                              , EE111-엘리베이터문(문)                                                                                                              , EE111-엘리베이터문(13인승)_1100x2550                                                                                                , 7620945
IfcIfcSlab                , Floors                , Floor                                       , E251        , AD                                                               , Floor: SL110-철근콘크리트구조 바닥_PRS2_THK150                                                                                      , Floor: SL110-철근콘크리트구조 바닥_PRS2_THK150                                                                                      , Floor: SL110-철근콘크리트구조 바닥_PRS2_THK150
IfcIfcWall                , Walls                 , Basic Wall                                  , E24         , AMB111                                                           , Basic Wall: WA310-화강석 벽                                                                                                         , Basic Wall: WA310-화강석 벽                                                                                                         , Basic Wall: WA310-화강석 벽
IfcIfcWall                , 벽                    , 기본 벽                                     , E275        , AD                                                               , 기본 벽                                                                                                                             , WA111-철근콘크리트구조 벽 400mm_BW3                                                                                                 , 7628609
IfcIfcBeam                , Structural Framing    , BM110-철근콘크리트구조 보                   , E23         , AD                                                               , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_RG9_500 x 500                                                                 , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_RG9_500 x 500                                                                 , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_RG9_500 x 500
IfcIfcFurnishingElement   , 가구                  , PF582-소변기 칸막이                         , E714        , AOC771                                                           , PF582-소변기 칸막이                                                                                                                 , PF582-소변기 칸막이                                                                                                                 , 6404124
IfcIfcFurnishingElement   , 가구                  , FN113-소파(4인용)                           , E81         , APA                                                              , FN113-소파(4인용)                                                                                                                   , FN113-소파(4인용) 2900x950                                                                                                          , 7033174
IfcIfcSlab                , Floors                , Floor                                       , E251        , AD                                                               , Floor: SL110-철근콘크리트구조 바닥_B2-1S2_THK150                                                                                    , Floor: SL110-철근콘크리트구조 바닥_B2-1S2_THK150                                                                                    , Floor: SL110-철근콘크리트구조 바닥_B2-1S2_THK150
IfcIfcBeam                , Structural Framing    , BM110-철근콘크리트구조 보                   , E23         , AD                                                               , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_B1-1G2_400 x 850                                                              , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_B1-1G2_400 x 850                                                              , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_B1-1G2_400 x 850
IfcIfcBeam                , 구조 프레임           , BM111-철근콘크리트구조 보                   , E23         , AD                                                               , BM111-철근콘크리트구조 보                                                                                                           , BM110-철근 콘크리트구조 보_400 x 500_RG2                                                                                            , 7669453
IfcIfcWallStandardCase    , Walls                 , Basic Wall                                  , E24         , AD                                                               , Basic Wall: WA110-철근콘크리트구조 벽_CW1_T200                                                                                      , Basic Wall: WA110-철근콘크리트구조 벽_CW1_T200                                                                                      , Basic Wall: WA110-철근콘크리트구조 벽_CW1_T200
IfcIfcBuildingElementProxy, 바닥                  , 바닥                                        , E25         , AD                                                               , 바닥                                                                                                                                , 차량 진입구                                                                                                                         , 8014164
IfcIfcBuildingElementProxy, 일반 모델             , LA241-자전거 보관대                         , E94390      , CDK76310N006                                                     , LA241-자전거 보관대                                                                                                                 , LA241-자전거 보관대 10대                                                                                                            , 8093404
IfcIfcBeam                , Structural Framing    , BM110-철근콘크리트구조 보                   , E23         , AD                                                               , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_B1-1G1_400 x 850                                                              , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_B1-1G1_400 x 850                                                              , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_B1-1G1_400 x 850
IfcIfcBeam                , Structural Framing    , BM110-철근콘크리트구조 보                   , E23         , AD                                                               , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_RAWG1_600 x 600                                                               , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_RAWG1_600 x 600                                                               , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_RAWG1_600 x 600
IfcIfcWallStandardCase    , 벽                    , 기본 벽                                     , E275        , AD                                                               , 기본 벽                                                                                                                             , WA111-철근콘크리트구조 벽 400mm_BW3                                                                                                 , 7628609
IfcIfcSlab                , 바닥                  , 바닥                                        , E251        , AD                                                               , 바닥                                                                                                                                , SL111-철근콘크리트구조 바닥 200mm_S13                                                                                               , 7623064
IfcIfcBeam                , 구조 프레임           , BM111-철근콘크리트구조 보                   , E23         , AD                                                               , BM111-철근콘크리트구조 보                                                                                                           , BM110-철근 콘크리트구조 보_400 x 500_RB4                                                                                            , 7669455
IfcIfcFurnishingElement   , 가구                  , FN114-소파테이블(각형)                      , E81         , APA                                                              , FN114-소파테이블(각형)                                                                                                              , FN114-소파테이블(각형) 1200x600                                                                                                     , 6069056
IfcIfcBeam                , Structural Framing    , BM110-철근콘크리트구조 보                   , E23         , AD                                                               , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_2-10B3_400 x 400                                                              , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_2-10B3_400 x 400                                                              , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_2-10B3_400 x 400
IfcIfcFurnishingElement   , Furniture             , PF581-대변기 칸막이                         , E714        , AOC771                                                           , PF581-대변기 칸막이: PF581-대변기 칸막이(출입면) 1300*900*2400                                                                      , PF581-대변기 칸막이: PF581-대변기 칸막이(출입면) 1300*900*2400                                                                      , PF581-대변기 칸막이: PF581-대변기 칸막이(출입면) 1300*900*2400
IfcIfcWallStandardCase    , 벽                    , 기본 벽                                     , E275        , AD                                                               , 기본 벽                                                                                                                             , WA111-철근콘크리트구조 벽 125mm_W3                                                                                                  , 7431068
IfcIfcBeam                , Structural Framing    , BM110-철근콘크리트구조 보                   , E23         , AD                                                               , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_RG1_400 x 500                                                                 , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_RG1_400 x 500                                                                 , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_RG1_400 x 500
IfcIfcSlab                , Floors                , Floor                                       , E251        , AD                                                               , Floor: SL110-철근콘크리트구조 바닥_B2-1S3_THK150                                                                                    , Floor: SL110-철근콘크리트구조 바닥_B2-1S3_THK150                                                                                    , Floor: SL110-철근콘크리트구조 바닥_B2-1S3_THK150
IfcIfcWallStandardCase    , 벽                    , 기본 벽                                     , E24         , ANC132110000+AGA114600000+AHG3+AGA441100000                      , 기본 벽                                                                                                                             , "A1-32-07A-콘크리트면정리, 바닥방수연장, 시멘트모르타르(미장용), 수성페인트(내부) (24mm)"                                           , 6825625
IfcIfcDoor                , 문                    , "DR111-외여닫이문(철재, 일반, 양개)"        , E333        , ALA110100000                                                     , "DR111-외여닫이문(철재, 일반, 양개)"                                                                                                , "DR111-외여닫이문(유리, 일반, 양개) 950x2100mm"                                                                                     , 7685797
IfcIfcBeam                , Structural Framing    , BM110-철근콘크리트구조 보                   , E23         , AD                                                               , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_RB4_400 x 500                                                                 , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_RB4_400 x 500                                                                 , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_RB4_400 x 500
IfcIfcBeam                , Structural Framing    , BM110-철근콘크리트구조 보                   , E23         , AD                                                               , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_2-10G8_400 x 400                                                              , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_2-10G8_400 x 400                                                              , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_2-10G8_400 x 400
IfcIfcBeam                , Structural Framing    , BM110-철근콘크리트구조 보                   , E23         , AD                                                               , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_1B4(역보)_300 x 1500                                                          , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_1B4(역보)_300 x 1500                                                          , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_1B4(역보)_300 x 1500
IfcIfcWall                , 벽                    , 기본 벽                                     , E24         , AFC100+AJM+AOD112322000                                          , 기본 벽                                                                                                                             , "A2-22-02A-압출스티로폼, BRACKET(STEEL), ALC블록 (150mm)"                                                                           , 6831947
IfcIfcSlab                , 바닥                  , 바닥                                        , E25         , AMB3032E                                                         , 바닥                                                                                                                                , A1-14-06B-테라조타일 (80mm)                                                                                                         , 6843713
IfcIfcWallStandardCase    , Walls                 , Basic Wall                                  , E24         , AD                                                               , Basic Wall: WA110-철근콘크리트구조 벽_BW4_T400                                                                                      , Basic Wall: WA110-철근콘크리트구조 벽_BW4_T400                                                                                      , Basic Wall: WA110-철근콘크리트구조 벽_BW4_T400
IfcIfcSlab                , 바닥                  , 바닥                                        , E251        , AD+AMA31+AHJ112400000+AHC10091A+AGA133600000                     , 바닥                                                                                                                                , (복합)SL111(150_S4)+A1-14-03A_철콘+도막방수                                                                                         , 7726383
IfcIfcWall                , 벽                    , 기본 벽                                     , E275        , AD+AFC100+AJM+AOD112322000+ANC132110000+AGA113100000+AGA441100000, 기본 벽                                                                                                                             , (복합)A2-22-02A+WA111(200_W1)+A1-32-06A_압출+철콘+수성 2                                                                            , 7718583
IfcIfcBuildingElementProxy, 바닥                  , 바닥                                        , E93200      , AD                                                               , 바닥                                                                                                                                , 보행로(일반)                                                                                                                        , 8014144
IfcIfcBeam                , 구조 프레임           , BM111-철근콘크리트구조 보                   , E23         , AD                                                               , BM111-철근콘크리트구조 보                                                                                                           , BM110-철근 콘크리트구조 보_400 x 850_B1-1G1                                                                                         , 7667209
IfcIfcBeam                , 구조 프레임           , BM111-철근콘크리트구조 보                   , E23         , AD                                                               , BM111-철근콘크리트구조 보                                                                                                           , BM110-철근 콘크리트구조 보_400 x 400_2-10WG2                                                                                        , 7669412
IfcIfcWall                , Walls                 , Basic Wall                                  , E24         , AD                                                               , Basic Wall: WA110-철근콘크리트구조 벽_CW1_T200                                                                                      , Basic Wall: WA110-철근콘크리트구조 벽_CW1_T200                                                                                      , Basic Wall: WA110-철근콘크리트구조 벽_CW1_T200
IfcIfcBuildingElementProxy, Generic Models        , SE251-기본주차                              , E77         , CLH2601                                                          , SE251-기본주차: SE251-기본주차 장애인전용                                                                                           , SE251-기본주차: SE251-기본주차 장애인전용                                                                                           , SE251-기본주차: SE251-기본주차 장애인전용
IfcIfcWallStandardCase    , 벽                    , 기본 벽                                     , E275        , AD                                                               , 기본 벽                                                                                                                             , WA111-철근콘크리트구조 벽 400mm_BW2                                                                                                 , 7628678
IfcIfcSlab                , 바닥                  , 바닥                                        , E25         , AND011+ANJ210503A+AHJ112400000+AHK110C                           , 바닥                                                                                                                                , "A1-12-06A-알칼리방지용방수, 시멘트모르타르(보호용), 자동수평 모르타르, 우레탄페인트 (40mm)"                                        , 6843289
IfcIfcColumn              , 구조 기둥             , CL111-철근콘크리트구조 기둥 (각형)1         , E22         , AD                                                               , CL111-철근콘크리트구조 기둥 (각형)1                                                                                                 , CL111-철근콘크리트구조 기둥 (각형)_700x700_5-6C1                                                                                    , 7669433
IfcIfcColumn              , Structural Columns    , CL111-철근콘크리트구조 기둥 (각형)          , E22         , AD                                                               , CL111-철근콘크리트구조 기둥 (각형): CL111-철근콘크리트구조 기둥 (각형)_B2-B1C13_1020x400                                            , CL111-철근콘크리트구조 기둥 (각형): CL111-철근콘크리트구조 기둥 (각형)_B2-B1C13_1020x400                                            , CL111-철근콘크리트구조 기둥 (각형): CL111-철근콘크리트구조 기둥 (각형)_B2-B1C13_1020x400
IfcIfcWall                , 벽                    , 파라펫2                                     , E24         , AJC103100000                                                     , 파라펫2                                                                                                                             , 파라펫                                                                                                                              , 2999809
IfcIfcWallStandardCase    , 벽                    , 기본 벽                                     , E24         , AFC100+AJM+AOD112322000                                          , 기본 벽                                                                                                                             , "A2-22-02A-압출스티로폼, BRACKET(STEEL), ALC블록 (150mm)"                                                                           , 6831947
IfcIfcColumn              , Structural Columns    , CL111-철근콘크리트구조 기둥 (각형)          , E22         , AD                                                               , CL111-철근콘크리트구조 기둥 (각형): CL111-철근콘크리트구조 기둥 (각형)_8-10C2_700x700                                               , CL111-철근콘크리트구조 기둥 (각형): CL111-철근콘크리트구조 기둥 (각형)_8-10C2_700x700                                               , CL111-철근콘크리트구조 기둥 (각형): CL111-철근콘크리트구조 기둥 (각형)_8-10C2_700x700
IfcIfcFurnishingElement   , Furniture             , FN113-소파(4인용)                           , E81         , APA                                                              , FN113-소파(4인용): FN113-소파(4인용) 2900x950                                                                                       , FN113-소파(4인용): FN113-소파(4인용) 2900x950                                                                                       , FN113-소파(4인용): FN113-소파(4인용) 2900x950
IfcIfcSlab                , 바닥                  , 바닥                                        , E251        , AD                                                               , 바닥                                                                                                                                , SL111-철근콘크리트구조 바닥 150mm_S2                                                                                                , 7622617
IfcIfcRamp                , 바닥                  , 바닥                                        , E275        , AD                                                               , 바닥                                                                                                                                , RP111-철근콘크리트구조 램프 (돌음형) 300mm                                                                                          , 7468756
IfcIfcWall                , 벽                    , 기본 벽                                     , E275        , AD                                                               , 기본 벽                                                                                                                             , WA111-철근콘크리트구조 벽 200mm_CW1                                                                                                 , 7430341
IfcIfcBeam                , 구조 프레임           , BM111-철근콘크리트구조 보                   , E23         , AD                                                               , BM111-철근콘크리트구조 보                                                                                                           , BM110-철근 콘크리트구조 보_400 x 500_RWG1                                                                                           , 7669415
IfcIfcFurnishingElement   , 가구                  , FN111-로비의자 원형                         , E81         , APA                                                              , FN111-로비의자 원형                                                                                                                 , FN111-로비의자 원형 테블릿 4인용 2300x500x610                                                                                       , 6063136
IfcIfcWall                , 벽                    , 기본 벽                                     , E24         , ANC132110000+AGA114600000+AHG3+AGA441100000                      , 기본 벽                                                                                                                             , "A1-32-07A-콘크리트면정리, 바닥방수연장, 시멘트모르타르(미장용), 수성페인트(내부) (24mm)"                                           , 6825625
IfcIfcWallStandardCase    , 벽                    , 기본 벽                                     , E24         , AJN+AJM4+AOD112322000                                            , 기본 벽                                                                                                                             , "A2-26-01A-압출스티로폼, 금속 긴결철물, 금속외장패널 (150mm)"                                                                       , 6832219
IfcIfcBeam                , Structural Framing    , BM110-철근콘크리트구조 보                   , E23         , AD                                                               , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_2-10G9_500 x 400                                                              , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_2-10G9_500 x 400                                                              , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_2-10G9_500 x 400
IfcIfcBeam                , Structural Framing    , BM110-철근콘크리트구조 보                   , E23         , AD                                                               , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_2-10G12_600 x 400                                                             , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_2-10G12_600 x 400                                                             , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_2-10G12_600 x 400
IfcIfcDoor                , 문                    , "DR121-쌍여닫이문(철재, 일반, 양개)"        , E333        , ALA110300000                                                     , "DR121-쌍여닫이문(철재, 일반, 양개)"                                                                                                , "DR121-쌍여닫이문(유리, 일반, 양개) 1450x2100mm 2"                                                                                  , 7696360
IfcIfcBeam                , Structural Framing    , BM110-철근콘크리트구조 보                   , E23         , AD                                                               , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_B1-1WG1_400 x 850                                                             , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_B1-1WG1_400 x 850                                                             , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_B1-1WG1_400 x 850
IfcIfcColumn              , 구조 기둥             , CL111-철근콘크리트구조 기둥 (각형)1         , E22         , AD                                                               , CL111-철근콘크리트구조 기둥 (각형)1                                                                                                 , CL111-철근콘크리트구조 기둥 (각형)_1020x400_B2-B1C13                                                                                , 7669436
IfcIfcWallStandardCase    , Walls                 , Basic Wall                                  , E24         , AD                                                               , Basic Wall: WA110-철근콘크리트구조 벽_RaW1_T300                                                                                     , Basic Wall: WA110-철근콘크리트구조 벽_RaW1_T300                                                                                     , Basic Wall: WA110-철근콘크리트구조 벽_RaW1_T300
IfcIfcBuildingElementProxy, Generic Models        , SE251-장애인 표시                           , E77         , CLH2603                                                          , SE251-장애인 표시: SE251-장애인 표시                                                                                                , SE251-장애인 표시: SE251-장애인 표시                                                                                                , SE251-장애인 표시: SE251-장애인 표시
IfcIfcBeam                , 구조 프레임           , BM111-철근콘크리트구조 보                   , E23         , AD                                                               , BM111-철근콘크리트구조 보                                                                                                           , BM110-철근 콘크리트구조 보_400 x 850_B1-1B1                                                                                         , 7667210
IfcIfcRamp                , 바닥                  , 바닥                                        , E25         , AMB3211B                                                         , 바닥                                                                                                                                , A1-15-01B-화강석(물갈기) (80mm)                                                                                                     , 6843992
IfcIfcFlowTerminal        , Plumbing Fixtures     , PF411-평면붙임형 세면기                     , E71225      , MHA4                                                             , PF411-평면붙임형 세면기: PF411-평면붙임형 세면기                                                                                    , PF411-평면붙임형 세면기: PF411-평면붙임형 세면기                                                                                    , PF411-평면붙임형 세면기: PF411-평면붙임형 세면기
IfcIfcWall                , 벽                    , 기본 벽                                     , E24         , AMB161A+AD+AMB161A                                               , 기본 벽                                                                                                                             , (복합)WA313+WA111(200_CW1)+A1-33-01B_화강석잔다듬+철콘+화장실                                                                       , 7720306
IfcIfcWall                , 벽                    , 기본 벽                                     , E275        , AD                                                               , 기본 벽                                                                                                                             , WA111-철근콘크리트구조 벽 200mm_CW3                                                                                                 , 7626044
IfcIfcBeam                , 구조 프레임           , BM111-철근콘크리트구조 보                   , E23         , AD                                                               , BM111-철근콘크리트구조 보                                                                                                           , BM110-철근 콘크리트구조 보_400 x 850_1WG2                                                                                           , 7667208
IfcIfcSlab                , Floors                , Floor                                       , E251        , AD                                                               , Floor: SL110-철근콘크리트구조 바닥_RS4_THK150                                                                                       , Floor: SL110-철근콘크리트구조 바닥_RS4_THK150                                                                                       , Floor: SL110-철근콘크리트구조 바닥_RS4_THK150
IfcIfcDoor                , 문                    , CW520-Double Door_rev1                      , E336        , ALC1                                                             , CW520-Double Door_rev1                                                                                                              , CW520-Double Door_rev1                                                                                                              , 7672727
IfcIfcBeam                , 구조 프레임           , BM111-철근콘크리트구조 보                   , E23         , AD                                                               , BM111-철근콘크리트구조 보                                                                                                           , BM110-철근 콘크리트구조 보_400 x 400_2-10G4                                                                                         , 7669409
IfcIfcPlate               , 커튼월 패널           , CW300-THK24.Low-e coating glass             , E336        , ALC1                                                             , CW300-THK24.Low-e coating glass                                                                                                     , CW300-THK24.Low-e coating glass                                                                                                     , 6832454
IfcIfcFlowTerminal        , Plumbing Fixtures     , PF231-장애인용 소변기                       , E71215      , MHA32110120S                                                     , PF231-장애인용 소변기: PF231-장애인용 소변기                                                                                        , PF231-장애인용 소변기: PF231-장애인용 소변기                                                                                        , PF231-장애인용 소변기: PF231-장애인용 소변기
