ifc_type                  , category              , family_name                                 , kbims_code  , pps_code                                                         , family                                                                                                                              , type                                                                                                                                , type_id
IfcIfcWallStandardCase    , 벽                    , 기본 벽                                     , E275        , AD+ANC132110000+AGA113100000+AGA441100000                        , 기본 벽                                                                                                                             , (복합)WA111(200_CW1)+A1-32-06A_철콘+수성                                                                                            , 7717580
IfcIfcSlab                , 바닥                  , 바닥                                        , E25         , AD                                                               , 바닥                                                                                                                                , 대지 출입구                                                                                                                         , 8014162
IfcIfcBuildingElementProxy, 주차장                , SE251-기본주차                              , E77         , CLH2601                                                          , SE251-기본주차                                                                                                                      , SE251-기본주차 여성전용일반형                                                                                                       , 3107502
IfcIfcFlowTerminal        , 위생기구              , PF141-장애인용 대변기                       , E71210      , MHA141001000                                                     , PF141-장애인용 대변기                                                                                                               , PF141-장애인용 대변기                                                                                                               , 7202402
IfcIfcFurnishingElement   , Furniture             , FN111-바스툴 웨이브 고정형                  , E81         , APA                                                              , FN111-바스툴 웨이브 고정형: FN111-바스툴 웨이브 고정형 풋링 650x650x1000                                                            , FN111-바스툴 웨이브 고정형: FN111-바스툴 웨이브 고정형 풋링 650x650x1000                                                            , FN111-바스툴 웨이브 고정형: FN111-바스툴 웨이브 고정형 풋링 650x650x1000
IfcIfcWallStandardCase    , Walls                 , Basic Wall                                  , E24         , AOC700                                                           , "Basic Wall: WA730-DRY WALL(C50, GS12.5mm) (2겹양면, GW50mm) 100mm"                                                                 , "Basic Wall: WA730-DRY WALL(C50, GS12.5mm) (2겹양면, GW50mm) 100mm"                                                                 , "Basic Wall: WA730-DRY WALL(C50, GS12.5mm) (2겹양면, GW50mm) 100mm"
IfcIfcBeam                , 구조 프레임           , BM111-철근콘크리트구조 보                   , E23         , AD                                                               , BM111-철근콘크리트구조 보                                                                                                           , BM110-철근 콘크리트구조 보_300 x 800_1B6                                                                                            , 7667214
IfcIfcFurnishingElement   , 가구                  , FN113-소파(2인용)                           , E81         , APA                                                              , FN113-소파(2인용)                                                                                                                   , FN113-소파(2인용) 1460x850                                                                                                          , 6066553
IfcIfcBeam                , 구조 프레임           , BM111-철근콘크리트구조 보                   , E23         , AD                                                               , BM111-철근콘크리트구조 보                                                                                                           , BM110-철근 콘크리트구조 보_400 x 400_2-10G1                                                                                         , 7669420
IfcIfcBeam                , Structural Framing    , BM110-철근콘크리트구조 보                   , E23         , AD                                                               , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_RB5_400 x 500                                                                 , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_RB5_400 x 500                                                                 , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_RB5_400 x 500
